ImMoney,DelayMoney,DelayDays,CueType,rows,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.rt,choice.started,choice.stopped,ImmedMoneyAmt.started,ImmedMoneyAmt.stopped,DelayMoneyAmt.started,DelayMoneyAmt.stopped,Immedtoday.started,Immedtoday.stopped,DelayTime.started,DelayTime.stopped,blank.started,blank.stopped,text_2.started,text_2.stopped,cue.started,cue.stopped,ThankYou.started,ThankYou.stopped,participant,session,date,expName,psychopyVersion,frameRate,
$60 ,$65 ,in 21 days,REGULATE,0033:0043,,,,,0,4,4,4,0,0,0,8,,,,,,,,,,,,,307.1369333000039,None,,,309.16337780002505,None,None,,309.16337780002505,None,309.16337780002505,None,309.16337780002505,None,309.16337780002505,None,309.16337780002505,None,309.16337780002505,310.6722900000168,,,305.13613649999024,None,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$49 ,$60 ,in 3 days,REGULATE,0033:0043,,,,,0,4,4,4,0,1,1,7,,,,,,,,,,,,,313.12417010002537,None,,,315.1496638000244,None,None,,315.1496638000244,None,315.1496638000244,None,315.1496638000244,None,315.1496638000244,None,315.1496638000244,None,315.1496638000244,316.6612277000095,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$11 ,$30 ,in 25 days,REGULATE,0033:0043,,,,,0,4,4,4,0,2,2,2,,,,,,,,,,,,,319.12941450002836,None,,,321.15632800001185,None,None,,321.15632800001185,None,321.15632800001185,None,321.15632800001185,None,321.15632800001185,None,321.15632800001185,None,321.15632800001185,322.66582300001755,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$24 ,$35 ,in 31 days,REGULATE,0033:0043,,,,,0,4,4,4,0,3,3,9,,,,,,,,,,,,,325.13401079998584,None,,,327.16309430002,None,None,,327.16309430002,None,327.16309430002,None,327.16309430002,None,327.16309430002,None,327.16309430002,None,327.16309430002,328.67107669997495,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$34 ,$35 ,in 60 days,REGULATE,0033:0043,,,,,0,4,4,4,0,4,4,4,,,,,,,,,,,,,331.12268640002003,None,,,333.1497872999753,None,None,,333.1497872999753,None,333.1497872999753,None,333.1497872999753,None,333.1497872999753,None,333.1497872999753,None,333.1497872999753,334.6589946000022,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$35 ,$64 ,in 31 days,REGULATE,0033:0043,,,,,0,4,4,4,0,5,5,0,,,,,,,,,,,,,337.1275542000076,None,,,339.1576277000131,None,None,,339.1576277000131,None,339.1576277000131,None,339.1576277000131,None,339.1576277000131,None,339.1576277000131,None,339.1576277000131,340.6639245999977,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$27 ,$50 ,in 7 days,REGULATE,0033:0043,,,,,0,4,4,4,0,6,6,5,,,,,,,,,,,,,343.13226779998513,None,,,345.15969350002706,None,None,,345.15969350002706,None,345.15969350002706,None,345.15969350002706,None,345.15969350002706,None,345.15969350002706,None,345.15969350002706,346.66962110000895,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$39 ,$61 ,in 16 days,REGULATE,0033:0043,,,,,0,4,4,4,0,7,7,6,,,,,,,,,,,,,349.1377612000215,None,,,351.1485456000082,None,None,,351.1485456000082,None,351.1485456000082,None,351.1485456000082,None,351.1485456000082,None,351.1485456000082,None,351.1485456000082,352.6575482999906,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$52 ,$65 ,in 2 days,REGULATE,0033:0043,,,,,0,4,4,4,0,8,8,3,,,,,,,,,,,,,355.12633900000947,None,,,357.15467319998425,None,None,,357.15467319998425,None,357.15467319998425,None,357.15467319998425,None,357.15467319998425,None,357.15467319998425,None,357.15467319998425,358.6624720999971,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$40 ,$55 ,in 50 days,REGULATE,0033:0043,,,,,0,4,4,4,0,9,9,1,,,,,,,,,,,,,361.13072519999696,None,,,363.15887520002434,None,None,,363.15887520002434,None,363.15887520002434,None,363.15887520002434,None,363.15887520002434,None,363.15887520002434,None,363.15887520002434,364.66727700002957,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
,,,REGULATE,0033:0043,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$41 ,$65 ,in 7 days,LOOK,0043:0053,,,,,0,5,5,5,0,0,0,4,,,,,,,,,,,,,371.1222546999925,None,,,373.1496972999885,None,None,,373.1496972999885,None,373.1496972999885,None,373.1496972999885,None,373.1496972999885,None,373.1496972999885,None,373.1496972999885,374.65921100002015,,,369.1379360000137,None,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$25 ,$30 ,in 24 days,LOOK,0043:0053,,,,,0,5,5,5,0,1,1,3,,,,,,,,,,,,,377.1278281999985,None,,,379.15520769997966,None,None,,379.15520769997966,None,379.15520769997966,None,379.15520769997966,None,379.15520769997966,None,379.15520769997966,None,379.15520769997966,380.6637681000284,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$34 ,$50 ,in 14 days,LOOK,0043:0053,,,,,0,5,5,5,0,2,2,2,,,,,,,,,,,,,383.1331554999924,None,,,385.1610615000245,None,None,,385.1610615000245,None,385.1610615000245,None,385.1610615000245,None,385.1610615000245,None,385.1610615000245,None,385.1610615000245,386.6687068999745,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
$22 ,$25 ,in 18 days,LOOK,0043:0053,,,,,0,5,5,5,0,3,3,7,,,,,,,,,,,,,389.1374766000081,None,,,391.1665173000074,None,None,,391.1665173000074,None,391.1665173000074,None,391.1665173000074,None,391.1665173000074,None,391.1665173000074,None,391.1665173000074,392.67448129999684,,,,,,,1,001,2019_Oct_21_1005,DelayDiscountPavlovia,3.2.4,59.827326379097755,
