Rows,CueType1,CueType2,nReps1,Player1Var,Player2Var,nReps2,CueLoop.thisRepN,CueLoop.thisTrialN,CueLoop.thisN,CueLoop.thisIndex,randomlyPresent.thisRepN,randomlyPresent.thisTrialN,randomlyPresent.thisN,randomlyPresent.thisIndex,SelfishGiver.thisRepN,SelfishGiver.thisTrialN,SelfishGiver.thisN,SelfishGiver.thisIndex,GenerousGiver.thisRepN,GenerousGiver.thisTrialN,GenerousGiver.thisN,GenerousGiver.thisIndex,Instructions.started,Instructions.stopped,begin.keys,begin.rt,begin.started,begin.stopped,isiText.started,isiText.stopped,cueText.started,cueText.stopped,sendInst2.started,sendInst2.stopped,Player2Name.started,Player2Name.stopped,Player2Pic.started,Player2Pic.stopped,text_2.started,text_2.stopped,enter2.keys,enter2.rt,enter2.started,enter2.stopped,typedWord,dollar2.started,dollar2.stopped,Feedback2.started,Feedback2.stopped,sendInstructions.started,sendInstructions.stopped,Player1Name.started,Player1Name.stopped,Player1Pic.started,Player1Pic.stopped,enter.keys,enter.rt,enter.started,enter.stopped,text.started,text.stopped,dollarSign.started,dollarSign.stopped,Feedback.started,Feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
021:030,REACT,REGULATE,1,Player 1,Player 2,0,0,2,2,2,0,7,7,7,,,,,,,,,,,,,,,395.1290224001277,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
021:030,REACT,REGULATE,1,Player 1,Player 2,0,0,2,2,2,0,8,8,2,0,0,0,0,,,,,,,,,,,415.5625934000127,None,,,,,,,,,,,,,,,5,,,,,397.13804980018176,None,397.13804980018176,None,397.13804980018176,None,return,18.400928899878636,397.13804980018176,None,397.13804980018176,None,397.13804980018176,None,417.5788626000285,None,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
021:030,REACT,REGULATE,1,Player 1,Player 2,0,0,2,2,2,0,8,8,2,,,,,,,,,,,,,,,422.56849460001104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
021:030,REACT,REGULATE,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
031:040,REGULATE,REACT,0,Player 1,Player 2,1,0,3,3,3,0,0,0,3,,,,,0,0,0,0,,,,,,,436.66325650014915,None,426.57162440009415,None,435.5850527000148,None,435.5850527000148,None,435.5850527000148,None,435.5850527000148,None,return,1.0582320000976324,435.5850527000148,None,5,435.5850527000148,None,438.6803755001165,None,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
031:040,REGULATE,REACT,0,Player 1,Player 2,1,0,3,3,3,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
031:040,REGULATE,REACT,0,Player 1,Player 2,1,0,3,3,3,0,1,1,4,,,,,0,0,0,0,,,,,,,447.4892152999528,None,,,445.67549010016955,None,445.67549010016955,None,445.67549010016955,None,445.67549010016955,None,return,1.7835230000782758,445.67549010016955,None,5,445.67549010016955,None,449.5064288000576,None,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
031:040,REGULATE,REACT,0,Player 1,Player 2,1,0,3,3,3,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
031:040,REGULATE,REACT,0,Player 1,Player 2,1,0,3,3,3,0,2,2,6,,,,,0,0,0,0,,,,,,,458.0312586000655,None,,,456.500820199959,None,456.500820199959,None,456.500820199959,None,456.500820199959,None,return,1.5018678000196815,456.500820199959,None,5,456.500820199959,None,460.0481416999828,None,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
031:040,REGULATE,REACT,0,Player 1,Player 2,1,0,3,3,3,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
031:040,REGULATE,REACT,1,Player 1,Player 2,0,0,3,3,3,0,3,3,1,0,0,0,0,,,,,,,,,,,466.4215534001123,None,,,,,,,,,,,,,,,5,,,,,465.0446176000405,None,465.0446176000405,None,465.0446176000405,None,return,1.3587350000161678,465.0446176000405,None,465.0446176000405,None,465.0446176000405,None,468.43756200000644,None,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
031:040,REGULATE,REACT,1,Player 1,Player 2,0,0,3,3,3,0,3,3,1,,,,,,,,,,,,,,,473.4269934000913,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_12_0912,TrustGame,3.2.4,60.13424372781901,
