sure,gamble,gambleProb,Rows,CueType,gambleWinLoss,sureWinLoss,WinLossCode,WinLoss,Evgamble,riskyAdDis,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.rt,choice.started,choice.stopped,GambleAmt.started,GambleAmt.stopped,SureAmt.started,SureAmt.stopped,GambleProb.started,GambleProb.stopped,SureProb.started,SureProb.stopped,blank.started,blank.stopped,moneyBank.started,moneyBank.stopped,earningsText.started,earningsText.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,
None,None,None,0040:0050,REGULATE,None,None,None,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$2.75 ,$6.00 ,65,0050:0060,LOOK,65%  WIN,100%  WIN,1,WIN,3.9,ad,,,,,0,5,5,5,0,0,0,4,,,,,,,,,,,,,363.59147099999245,None,,,365.61068639997393,None,2,0.5880159999942407,365.61068639997393,None,365.61068639997393,None,365.61068639997393,None,365.61068639997393,None,365.61068639997393,None,365.61068639997393,367.1102249000105,365.61068639997393,None,365.61068639997393,None,,,,,,,361.5892454999848,None,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$2.95 ,$5.00 ,65,0050:0060,LOOK,65%  LOSE,100%  LOSE,0,LOSE,-3.25,dis,,,,,0,5,5,5,0,1,1,8,,,,,,,,,,,,,369.57932899997104,None,,,371.6008866999764,None,2,1.7502035000361502,371.6008866999764,None,371.6008866999764,None,371.6008866999764,None,371.6008866999764,None,371.6008866999764,None,371.6008866999764,373.1154911000049,371.6008866999764,None,371.6008866999764,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$4.25 ,$7.00 ,50,0050:0060,LOOK,50%  LOSE,100%  LOSE,0,LOSE,-3.5,ad,,,,,0,5,5,5,0,2,2,6,,,,,,,,,,,,,375.58432989998255,None,,,377.6047028999892,None,2,2.4024415999883786,377.6047028999892,None,377.6047028999892,None,377.6047028999892,None,377.6047028999892,None,377.6047028999892,None,377.6047028999892,379.1208101999946,377.6047028999892,None,377.6047028999892,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$4.75 ,$8.50 ,65,0050:0060,LOOK,65%  LOSE,100%  LOSE,0,LOSE,-5.525,dis,,,,,0,5,5,5,0,3,3,9,,,,,,,,,,,,,381.58914759999607,None,,,383.61007910000626,None,2,1.452846500033047,383.61007910000626,None,383.61007910000626,None,383.61007910000626,None,383.61007910000626,None,383.61007910000626,None,383.61007910000626,385.12620840000454,383.61007910000626,None,383.61007910000626,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$2.50 ,$5.00 ,65,0050:0060,LOOK,65%  WIN,100%  WIN,1,WIN,3.25,ad,,,,,0,5,5,5,0,4,4,0,,,,,,,,,,,,,387.57715590001317,None,,,389.59706930001266,None,2,2.009732299949974,389.59706930001266,None,389.59706930001266,None,389.59706930001266,None,389.59706930001266,None,389.59706930001266,None,389.59706930001266,391.097140399972,389.59706930001266,None,389.59706930001266,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$4.00 ,$6.50 ,65,0050:0060,LOOK,65%  WIN,100%  WIN,1,WIN,4.225,ad,,,,,0,5,5,5,0,5,5,1,,,,,,,,,,,,,393.58231879997766,None,,,395.6037150999764,None,2,1.4118213999900036,395.6037150999764,None,395.6037150999764,None,395.6037150999764,None,395.6037150999764,None,395.6037150999764,None,395.6037150999764,397.11981270002434,395.6037150999764,None,395.6037150999764,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$1.25 ,$3.00 ,50,0050:0060,LOOK,50%  WIN,100%  WIN,1,WIN,1.5,ad,,,,,0,5,5,5,0,6,6,2,,,,,,,,,,,,,399.5874679000117,None,,,401.606906800007,None,2,2.032284000015352,401.606906800007,None,401.606906800007,None,401.606906800007,None,401.606906800007,None,401.606906800007,None,401.606906800007,403.1076393999974,401.606906800007,None,401.606906800007,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$5.00 ,$9.50 ,35,0050:0060,LOOK,35%  WIN,100%  WIN,1,WIN,3.325,dis,,,,,0,5,5,5,0,7,7,3,,,,,,,,,,,,,405.57621700002346,None,,,407.5958682000055,None,None,,407.5958682000055,None,407.5958682000055,None,407.5958682000055,None,407.5958682000055,None,407.5958682000055,None,407.5958682000055,409.0979391000001,407.5958682000055,None,407.5958682000055,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$3.50 ,$5.50 ,65,0050:0060,LOOK,65%  LOSE,100%  LOSE,0,LOSE,-3.575,dis,,,,,0,5,5,5,0,8,8,5,,,,,,,,,,,,,411.58117239997955,None,,,413.6010355000035,None,2,3.3339940999867395,413.6010355000035,None,413.6010355000035,None,413.6010355000035,None,413.6010355000035,None,413.6010355000035,None,413.6010355000035,415.1000725000049,413.6010355000035,None,413.6010355000035,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
$3.15 ,$4.75 ,35,0050:0060,LOOK,35%  LOSE,100%  LOSE,0,LOSE,-1.663,ad,,,,,0,5,5,5,0,9,9,7,,,,,,,,,,,,,417.5855703999987,None,,,419.606432200002,None,2,0.8167616999708116,419.606432200002,None,419.606432200002,None,419.606432200002,None,419.606432200002,None,419.606432200002,None,419.606432200002,421.122119800013,419.606432200002,None,419.606432200002,None,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
None,None,None,0050:0060,LOOK,None,None,None,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Oct_21_1515,SlotMachTest,3.2.4,59.70929930923819,
