sure,gamble,gambleProb,Rows,CueType,gambleWinLoss,sureWinLoss,WinLossCode,plus,WinLoss,Evgamble,riskyAdDis,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,space.keys,space.rt,space.started,space.stopped,instruct2.started,instruct2.stopped,enter.keys,enter.rt,enter.started,enter.stopped,text_4.started,text_4.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,isi2.started,isi2.stopped,text.started,text.stopped,Line.started,Line.stopped,choice.keys,choice.rt,choice.started,choice.stopped,GambleAmt.started,GambleAmt.stopped,SureAmt.started,SureAmt.stopped,GambleProb.started,GambleProb.stopped,SureProb.started,SureProb.stopped,blank.started,blank.stopped,moneyBank.started,moneyBank.stopped,earningsText.started,earningsText.stopped,text_3.started,text_3.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,cue.started,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7,14,50,00020:0030,DE-EMPHASIZE,50%  WIN,100%  WIN,1,+,WIN,7,EQUAL,,,,,0,2,2,2,0,2,2,1,,,,,,,,,,,,,,,,,,,355.98632329981774,None,,,351.9998112998437,None,1,2.0838983000721782,351.9998112998437,None,351.9998112998437,None,351.9998112998437,None,351.9998112998437,None,351.9998112998437,None,351.9998112998437,353.5009274999611,351.9998112998437,None,351.9998112998437,None,357.97420319984667,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
3,9,35,00020:0030,DE-EMPHASIZE,35%  LOSE,100%  LOSE,0,+,LOSE,~3,EQUAL,,,,,0,2,2,2,0,3,3,8,,,,,,,,,,,,,,,,,,,367.9794547997881,None,,,363.9939179997891,None,None,,363.9939179997891,None,363.9939179997891,None,363.9939179997891,None,363.9939179997891,None,363.9939179997891,None,363.9939179997891,365.4943677999545,363.9939179997891,None,363.9939179997891,None,369.9851898998022,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
2,6,50,00020:0030,DE-EMPHASIZE,50%  LOSE,100%  LOSE,0,+,LOSE,3,dis,,,,,0,2,2,2,0,4,4,9,,,,,,,,,,,,,,,,,,,379.9730268998537,None,,,375.9990338999778,None,1,1.588937500026077,375.9990338999778,None,375.9990338999778,None,375.9990338999778,None,375.9990338999778,None,375.9990338999778,None,375.9990338999778,377.5042606999632,375.9990338999778,None,375.9990338999778,None,381.9774754999671,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
3,6,35,00020:0030,DE-EMPHASIZE,35%  WIN,100%  WIN,1,+,WIN,2.1,dis,,,,,0,2,2,2,0,5,5,0,,,,,,,,,,,,,,,,,,,391.98302839999087,None,,,387.9946083999239,None,1,2.4091801000759006,387.9946083999239,None,387.9946083999239,None,387.9946083999239,None,387.9946083999239,None,387.9946083999239,None,387.9946083999239,389.4981348000001,387.9946083999239,None,387.9946083999239,None,393.9885517999064,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
2,5,50,00020:0030,DE-EMPHASIZE,35%  WIN,100%  WIN,1,+,WIN,2.5,AD,,,,,0,2,2,2,0,6,6,2,,,,,,,,,,,,,,,,,,,403.9762783998158,None,,,399.9910189998336,None,1,2.8447389998473227,399.9910189998336,None,399.9910189998336,None,399.9910189998336,None,399.9910189998336,None,399.9910189998336,None,399.9910189998336,401.4908673998434,399.9910189998336,None,399.9910189998336,None,405.97906729998067,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
3,4,65,00020:0030,DE-EMPHASIZE,65%  LOSE,100%  LOSE,0,+,LOSE,2.6,ad,,,,,0,2,2,2,0,7,7,5,,,,,,,,,,,,,,,,,,,415.9861259998288,None,,,411.9994537997991,None,1,2.5337077998556197,411.9994537997991,None,411.9994537997991,None,411.9994537997991,None,411.9994537997991,None,411.9994537997991,None,411.9994537997991,413.5005588999484,411.9994537997991,None,411.9994537997991,None,417.9736905999016,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
4,13,35,00020:0030,DE-EMPHASIZE,35%  LOSE,100%  LOSE,0,+,LOSE,4.55,DIS,,,,,0,2,2,2,0,8,8,7,,,,,,,,,,,,,,,,,,,427.9794842998963,None,,,423.99429879989475,None,1,2.249460600083694,423.99429879989475,None,423.99429879989475,None,423.99429879989475,None,423.99429879989475,None,423.99429879989475,None,423.99429879989475,425.4942237997893,423.99429879989475,None,423.99429879989475,None,429.9847901999019,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
2,7,35,00020:0030,DE-EMPHASIZE,35%  WIN,100%  WIN,1,+,WIN,2.45,ad,,,,,0,2,2,2,0,9,9,3,,,,,,,,,,,,,,,,,,,439.97294479981065,None,,,436.0035522999242,None,1,2.8962785999756306,436.0035522999242,None,436.0035522999242,None,436.0035522999242,None,436.0035522999242,None,436.0035522999242,None,436.0035522999242,437.50389990000986,436.0035522999242,None,436.0035522999242,None,441.9772012999747,None,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
3.75,7.5,35.0,00020:0030,DE-EMPHASIZE,35%  LOSE,100%  LOSE,0.0,+,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
3,11,35,0030:0040,EMPHASIZE,35%  LOSE,100%  LOSE,0,None,LOSE,3.85,DIS,,,,,0,3,3,3,0,0,0,5,,,,,,,,,,,,,,,,,,,456.9875231999904,None,,,453.0009251998272,None,2,2.8908261999022216,453.0009251998272,None,453.0009251998272,None,453.0009251998272,None,453.0009251998272,None,453.0009251998272,None,453.0009251998272,454.5013579998631,453.0009251998272,None,453.0009251998272,None,458.9754309998825,None,,,,,,,447.97944919997826,None,1,001,2020_Feb_06_1011,SlotMachTest,3.2.4,59.96828880666318,
